id,name,address,priority_level,accidents_died_injured
FVF-PLC001,Предлагаемое место МВД 1,"г. Саранск, Юго-Западное шоссе (между ул. Победа и а/д Саранск-Ключарево)",2,3-0-4
FVF-PLC002,Предлагаемое место МВД 2,"Россия, Республика Мордовия, Саранск, Юго-Западное шоссе, 10",2,5-0-9
FVF-PLC003,Предлагаемое место МВД 3,"г. Саранск, ул. Севастопольская (между ул. Серова и ул. Кочкуровская)",2,2-0-2
FVF-PLC004,Предлагаемое место МВД 4,"г. Саранск, ул. Севастопольская (между ул. Кочкуровская и ул. Волгоградская)",2,1-0-1
FVF-PLC005,Предлагаемое место МВД 5,"г. Саранск, ул. Полежаева (район АЗС «Башнефть»)",2,3-1-5
FVF-PLC006,Предлагаемое место МВД 6,"Россия, Республика Мордовия, Саранск, Александровское шоссе, 10",4,1-0-1
FVF-PLC007,Предлагаемое место МВД 7,"г. Саранск, ул. Косарева, 130 (район магазина «Вираж»)",2,2-1-6
FVF-PLC008,Предлагаемое место МВД 8,"Россия, Республика Мордовия, Саранск, Севастопольская улица, 40",2,нет данных
FVF-PLC009,Предлагаемое место МВД 9,а/д Восточный обход го Саранск (участок от а/д Саранск- Кочкурово до ул. Пионерская п.Ялга),2,5-0-12
FVF-PLC010,Предлагаемое место МВД 10,а/д Восточный обход го Саранск (участок от а/д Саранск Б. Березники до а/д Саранск-Кочкурово),2,9-0-22
FVF-PLC011,Предлагаемое место МВД 11,"а/д Берсеневка- Пензятка, 5-7 км",1,2-0-3
FVF-PLC013,Предлагаемое место МВД 13,"а/д Р178 (г.Саранск-с.Сурское-г.Ульяновск), 21-22 км",3,2-1-1
FVF-PLC014,Предлагаемое место МВД 14,"а/д Р178 (г.Саранск-с.Сурское-г.Ульяновск), 32-34 км",1,8-1-15
FVF-PLC015,Предлагаемое место МВД 15,"а/д Р178 (г.Саранск-с.Сурское-г.Ульяновск), 45-46 км",4,5-3-8
FVF-PLC016,Предлагаемое место МВД 16,"а/д Р178 (г.Саранск-с.Сурское-г.Ульяновск), 59-61 км",3,нет данных
FVF-PLC017,Предлагаемое место МВД 17,"а/д Р178 (г.Саранск-с.Сурское-г.Ульяновск), 92км (поворот на с. Морга)",3,нет данных
FVF-PLC018,Предлагаемое место МВД 18,"а/д Р158 (Н.Новгород-Саратов), 270-273 км",1,6-1-9
FVF-PLC019,Предлагаемое место МВД 19,"а/д Р158 (Н.Новгород-Саратов), 317-318 км",4,нет данных
FVF-PLC020,Предлагаемое место МВД 20,"а/д Комсомольский - Атяшево - Ардатов, 8-15 км",1,5-1-6
FVF-PLC021,Предлагаемое место МВД 21,"а/д Комсомольский - Атяшево - Ардатов, 20-37 км",1,12-4-9
FVF-PLC022,Предлагаемое место МВД 22,"а/д Комсомольский - Атяшево - Ардатов, 64-77 км",1,16-4-16
