id,node_id,object_type,contractor,name,mount_date,verification_begin_date,verification_end_date,model,vendor,address,description,road_type,power_supply_provider,power_supply_type,is_work,is_online,is_pautina,tower,signs,is_mounted,priority_level,direction,latitude,longitude,info,node_distance,cost
FVF-CRD0419,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0419,29.07.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"г.Саранск, пер. ул.Волгоградская и ул.Короленко, Мордовия респ.",“Сити-Парк”,М,Дирекция ЖКХ,Круглосуточное ЭП ,,TRUE,TRUE,Существующая,Не нужны,TRUE,1,направить комплекс в сторону центра,54.186161,45.214915,"Самовольное включение, требуется заключить договор",?,?
FVF-CRD0410,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0410,09.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д ""Восточный обход г.Саранска"" (поворот на п.Пушкино), Мордовия респ.",“Пушкино”,Р,УпрДор,Ночное освещение,,TRUE,TRUE,Существующая,Есть,TRUE,2,направить комплекс в сторону Ялга,54.143785,45.186837,"Самовольное включение, требуется заключить договор",?,?
FVF-CRD0427,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0427,10.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д ""Восточный обход г.Саранска"" (поворот на аэропорт ""Саранск""), Мордовия респ.",“Аэропорт”,Р,УпрДор,Ночное освещение,,TRUE,TRUE,Существующая,Произведен монтаж,TRUE,2,направить комплекс в сторону Ялга,54.157725,45.222055,"Самовольное включение, требуется заключить договор",?,?
FVF-CRD0408,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0408,11.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"г.Саранск, Юго-Западное ш., д.4, Мордовия респ.",“АЗС Газпромнефть (Ю-З ш.)”,М,Горсвет,Ночное освещение,,TRUE,TRUE,Произведен монтаж,Не нужны,TRUE,2,направить комплекс в сторону светотехстроя (перевесить),54.180819,45.13104,"Включена, АКБ работает штатно",?,?
FVF-CRD0413,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0413,12.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"г.Саранск, Юго-Западное ш., Мордовия респ.",“После ключаревского поворота (Ю-З ш.)”,М,Горсвет,Ночное освещение,,TRUE,TRUE,Произведен монтаж,Не нужны,TRUE,2,направить комплекс в сторону юго-запада,54.204158,45.118526,"Включена, АКБ работает штатно",?,?
FVF-CRD0426,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0426,15.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"г.Саранск, ул.Победы, д.1В, Мордовия респ.",“АЗС Ситиойл - ЦОП”,М,Горсвет,Ночное освещение,,FALSE,TRUE,Существующая,Не нужны,TRUE,2,направить комплекс в сторону светотехстроя,54.206603,45.133467,"Включена, недозаряд АКБ - демонтаж БПФ",?,?
FVF-CRD0430,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0430,15.08.2022,29.06.2022,28.06.2024,Кордон Про М,Симикон,"а/д Р158(г.Н.Новгород-г.Саратов), 276км+300м, Мордовия респ.",“Въезд в Саранск из Лямбирь”,Ф,МРСК,Круглосуточное ЭП ,,FALSE,TRUE,Существующая,Есть,TRUE,1,направить комплекс в сторону Саранск,54.258333,45.132778,"Не включена, заявка на договор в МРСК оправлена",?,?
FVF-CRD0409,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0409,16.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д Р158(г.Н.Новгород-г.Саратов), 270км+900м, Мордовия респ.",“Лямбирь-Спортивная”,Ф,МРСК,Круглосуточное ЭП ,,FALSE,TRUE,Произведен монтаж,Есть,TRUE,1,направить комплекс в сторону Саранск,54.294522,45.082566,"Не включена, заявка на договор в МРСК оправлена",?,?
FVF-CRD0414,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0414,16.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"г.Саранск, ул.Севастопольская, д.2Б, Мордовия респ.",“Мегастрой”,М,Горсвет,Ночное освещение,,FALSE,TRUE,Существующая,Не нужны,TRUE,2,направить комплекс в сторону юго-запада,54.171417,45.208204,"Включена, недозаряд АКБ - демонтаж БПФ",?,?
FVF-CRD0423,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0423,17.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д ""Подъезд к г.Саранск от ФАД М5 ""Урал"", 187км+500м, Мордовия респ.",“М5 Стоянка большегрузов”,Ф,ООО Стройавтотрейд,Круглосуточное ЭП ,,TRUE,TRUE,Произведен монтаж,Произведен монтаж,TRUE,1,направить комплекс в сторону Саранск,54.246003,45.19002,Включена,?,?
FVF-CRD0411,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0411,18.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д г.Саранск-с.Кочкурово-граница с Пензенской обл., 22км+550м (с.Кочкурово), Мордовия респ.",“Въезд в Кочкурово”,Р,СЖО РМ,Круглосуточное ЭП ,,FALSE,TRUE,Существующая,Произведен монтаж,TRUE,3,направить комплекс в сторону Саранск,54.050978,45.437801,"Не включена, требуется заключить договор",?,?
FVF-CRD0424,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0424,18.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д г.Саранск-с.Кочкурово-граница с Пензенской обл., 15км+450м, Мордовия респ.",“Танеевка”,Р,УпрДор,Круглосуточное ЭП ,,TRUE,TRUE,Существующая,Есть,TRUE,2,направить комплекс в сторону Саранск,54.096277,45.366015,"Самовольное включение, требуется заключить договор",?,?
FVF-CRD0406,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0406,24.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д Рузаевка-Ковылкино-Торбеево, ~125км",“Въезд в Торбеево/Дракино”,,УпрДор,Ночное освещение,,FALSE,FALSE,Существующая,Произведен монтаж,TRUE,4,направить комплекс в сторону Торбеево,54.062449,43.259713,"Нет питания, УпрДор - уточнить есть ли возможность",?,?
FVF-CRD0415,?,fvf,ГУП РМ НПЦ ИНТ,КПроМ-Стац-PM0415,24.08.2022,13.07.2022,12.07.2024,Кордон Про М,Симикон,"а/д М-5 Урал, 452-453 км",“М5 Н.Выселки”,,ФедУпрДор,Ночное освещение,,FALSE,FALSE,Существующая,Есть,TRUE,4,направить комплекс в сторону Спасск,54.009824,42.959804,"Нет питания или проблемы с сим-картой, требуется выезд",?,?
