"node_id","name","address","description","latitude","longitude","node_distance","cost"
"?","ИВН-РМС-1-С1","","Стационарная камера",54.18136378317981,45.18935926809676,"?","?"
"?","ИВН-РМС-1-С2","","Стационарная камера",54.18178366701778,45.18941023006799,"?","?"
"?","ИВН-РМС-2-П1","","Поворотная камера",54.18280000193005,45.19000031605127,"?","?"
"?","Unknown","","Стационарная камера",54.1830092442421,45.19003518476846,"?","?"
"?","ИВН-РМС-2-С1","","Стационарная камера",54.18320117986362,45.19005932464959,"?","?"
"?","ИВН-РМС-32-С1","","Стационарная камера",54.1836432576853,45.190131744293,"?","?"
"?","ИВН-РМС-32-С2","","Стационарная камера",54.18376754205006,45.19042946949367,"?","?"
"?","ИВН-РМС-32-С3","","Стационарная камера",54.18367629533091,45.19150235309958,"?","?"
"?","ИВН-РМС-32-П1","","Поворотная камера",54.18375810274008,45.19015320196513,"?","?"
"?","ИВН-РМС-2-С2","","Стационарная камера",54.18300609773296,45.19004323139544,"?","?"
"?","ИВН-РМС-3-С1","","Стационарная камера",54.1864035301363,45.17992686753301,"?","?"
"?","ИВН-РМС-79-С1","","Стационарная камера",54.1864412849042,45.18038284306551,"?","?"
"?","ИВН-РМС-79-П1","","Поворотная камера",54.18640510323283,45.1804177117827,"?","?"
"?","ИВН-РМС-4-С1","","Стационарная камера",54.17988151137622,45.18045165195805,"?","?"
"?","ИВН-РМС-4-С2","","Стационарная камера",54.17988780483982,45.18063940658911,"?","?"
"?","ИВН-РМС-4-П1","","Поворотная камера",54.17983745710416,45.18055357590063,"?","?"
"?","ИВН-РМС-5-С3","","Стационарная камера",54.18339719420003,45.18284954681637,"?","?"
"?","ИВН-РМС-5-П1","","Поворотная камера",54.18339562096433,45.18236943140269,"?","?"
"?","ИВН-РМС-5-C2","","Стационарная камера",54.1829850054427,45.18229164734126,"?","?"
"?","ИВН-РМС-5-C1","","Стационарная камера",54.1829236487486,45.18233724489453,"?","?"
"?","ИВН-РМС-6-С1","","Стационарная камера",54.19409692469516,45.18828638448947,"?","?"
"?","ИВН-РМС-6-С2","","Стационарная камера",54.19418814820556,45.18816032066535,"?","?"
"?","ИВН-РМС-6-П1","","Поворотная камера",54.19416612883268,45.18830247774356,"?","?"
"?","ИВН-РМС-6-С3","","Стационарная камера",54.19425892510714,45.1880396212601,"?","?"
"?","ИВН-РМС-6-П2","","Поворотная камера",54.19464898173458,45.18810667648549,"?","?"
"?","ИВН-РМС-7-П1","","Поворотная камера",54.18635790952845,45.18051602497312,"?","?"
"?","ИВН-РМС-7-С1","","Стационарная камера",54.18585922794887,45.18048383846497,"?","?"
"?","ИВН-РМС-7-С2","","Стационарная камера",54.18581989949184,45.17984815492844,"?","?"
"?","ИВН-РМС-8-С1","","Стационарная камера",54.18257753219743,45.17156012907225,"?","?"
"?","ИВН-РМС-8-С2","","Стационарная камера",54.18254292039754,45.17147429838378,"?","?"
"?","ИВН-РМС-8-С3","","Стационарная камера",54.18248628284407,45.17148234501082,"?","?"
"?","ИВН-РМС-8-П1","","Поворотная камера",54.18252089469157,45.17159499778945,"?","?"
"?","ИВН-РМС-9-П2","","Поворотная камера",54.14758116269352,45.22200711622406,"?","?"
"?","ИВН-РМС-9-С8","","Стационарная камера",54.14724104737189,45.22194274320668,"?","?"
"?","ИВН-РМС-9-С5","","Стационарная камера",54.14746149289292,45.22216268434693,"?","?"
"?","ИВН-РМС-10-П1","","Поворотная камера",54.22139206612808,45.12337156191013,"?","?"
"?","ИВН-РМС-10-С1","","Стационарная камера",54.22139678146073,45.12346812143466,"?","?"
"?","ИВН-РМС-10-С2","","Стационарная камера",54.22133548204096,45.12339838400027,"?","?"
"?","ИВН-РМС-10-С3","","Стационарная камера",54.22135591519103,45.12328841343067,"?","?"
"?","ИВН-РМС-11-С1","","Стационарная камера",54.18703749117626,45.17217365120248,"?","?"
"?","ИВН-РМС-11-С2","","Стационарная камера",54.18698872527611,45.17213878248528,"?","?"
"?","ИВН-РМС-11-С3","","Стационарная камера",54.18698872527611,45.17225411747292,"?","?"
"?","ИВН-РМС-11-С4","","Стационарная камера",54.18670399421292,45.17221120212869,"?","?"
"?","ИВН-РМС-11-С5","","Стационарная камера",54.18700917549764,45.17125901792839,"?","?"
"?","ИВН-РМС-11-П1","","Поворотная камера",54.18678264939969,45.1716559848626,"?","?"
"?","ИВН-РМС-11-С6","","Стационарная камера",54.18683613484081,45.17172304008798,"?","?"
"?","ИВН-РМС-12-П1","","Поворотная камера",54.18829122674889,45.18492219065012,"?","?"
"?","ИВН-РМС-12-С1","","Стационарная камера",54.1881118992736,45.18482026670756,"?","?"
"?","ИВН-РМС-12-С2","","Стационарная камера",54.18844853090078,45.18489536855998,"?","?"
"?","ИВН-РМС-12-С3","","Стационарная камера",54.18870965446806,45.18468615625683,"?","?"
"?","ИВН-РМС-13-П1","","Поворотная камера",54.18784762565325,45.18441525314589,"?","?"
"?","ИВН-РМС-13-С1","","Стационарная камера",54.18780987215152,45.18417653654356,"?","?"
"?","ИВН-РМС-13-С2","","Стационарная камера",54.18780515280914,45.18388417576045,"?","?"
"?","ИВН-РМС-13-С3","","Стационарная камера",54.18797818947586,45.18329945419553,"?","?"
"?","ИВН-РМС-13-П2","","Поворотная камера",54.18804583084318,45.18318411920773,"?","?"
