node_id,object_type,type,telecom-unit_type,frontier,owner,stage,vpn,name,address,description,cam-static,cam-dynamic,cam-bio,cam-all,latitude,longitude,node_distance,cost
УС02,ivn,telecom-unit,внутренний,1,rm,1,,Щит связи для 1 рубежа,"г. Саранск, ул. Володарского, 2",Жилое здание,2,0,0,2,54.18172860161450,45.18929221287110,200,50000
УС02,ivn,telecom-unit,внутренний,2,rm,1,,Щит связи для 2 рубежа,"г. Саранск, ул. Володарского, 7",Жилое здание,3,1,0,4,54.18310835863410,45.19016661301010,400,100000
УС05,ivn,telecom-unit,внутренний,3_7_79,rm,1,,"Щит связи для 3, 7 и 79 рубежей","г. Саранск, ул. Б.Хмельницкого, 36",Здание Театра оперы и балета,4,2,0,6,54.18619902444600,45.18041502957370,0,0
УС03,ivn,telecom-unit,внутренний,4,rm,1,,Щит связи для 4 рубежа,"г. Саранск, ул. Большевистская, 2",Жилое здание (Диско-бар Ротонда),2,1,0,3,54.17996332632780,45.18047847404820,400,100000
УС03,ivn,telecom-unit,внутренний,5,rm,1,,Щит связи для 5 рубежа,"г. Саранск, ул. Большевистская, 25",Жилое здание,3,1,0,4,54.1832241383519,45.18251963510750,452,113000
А71,ivn,telecom-unit,внутренний,6,rm,1,,Щит связи для 6 рубежа,"г. Саранск, ул. Васенко, 2",Жилое здание,3,1,0,4,54.19400098239070,45.18812813415750,900,225000
А71,ivn,telecom-unit,внутренний,6,rm,1,,Щит связи для 6 рубежа,"г. Саранск, ул. Васенко, 1",Жилое здание,0,1,0,1,54.1949053475724,45.18813618078450,0,0
УС01,ivn,telecom-unit,внутренний,8,rm,1,,Щит связи для 8 рубежа,"г. Саранск, ул. Ботевградская, 21",Здание Поликлиники №3,3,1,0,4,54.18252876101650,45.17197587146960,0,0
?,ivn,telecom-unit,?,9_3БИО_3БИО-2,rm,3,да,Щит связи для 9 и 3 - БИО рубежей,"г. Саранск, Аэропорт Терминал 1","Здание Аэропорта, Терминал 1",2,1,4,7,54.14765044505080,45.22173353090450,0,0
УС05,ivn,telecom-unit,?,10,rm,2,,Щит связи для 10 рубежа,"г. Саранск, ул. Веселовского, 59а",Жилое здание,3,1,0,4,54.22184473598800,45.12306310787340,800,200000
УС10,ivn,telecom-unit,?,11,rm,2,,Щит связи для 11 рубежа,"г. Саранск, ул. Ботевградская, 65",Жилое здание,6,1,0,7,54.18715075367570,45.17246064756710,300,75000
УС05,ivn,telecom-unit,внутренний,12,rm,1,,Щит связи для 12 рубежа,"г. Саранск, ул. Б.Хмельницкого, 35а",Здание Саранск Арена,3,1,0,4,54.18834156370080,45.18475857589930,0,0
УС05,ivn,telecom-unit,внутренний,13,rm,1,,Щит связи для 13 рубежа,"г. Саранск, ул. Б.Хмельницкого, 28",Здание ТЦ Огарев Плаза,3,2,0,5,54.18794515546500,45.18388685797030,300,75000
УС05,ivn,telecom-unit,внутренний,14,rm,1,,Щит связи для 14 рубежа,"г. Саранск, ул. Б.Хмельницкого, 26",Здание Пушкинской библиотеки,5,1,0,6,54.18579315611170,45.18436965559290,0,0
УС05,ivn,telecom-unit,?,15_16_87,rm,2,,"Щит связи для 15, 16 и 87 рубежей","г. Саранск, ул. Б.Хмельницкого, 24",Жилое здание,3,1,0,4,54.18655297571610,45.18614527796070,900,225000
УС13,ivn,telecom-unit,внутренний,17,rm,1,,Щит связи для 17 рубежа,"г. Саранск, ул. Б.Хмельницкого, 39",Здание МГУ им. Огарева (ФЭТ),2,1,0,3,54.18712873029450,45.17903742407110,300,75000
УС01,ivn,telecom-unit,?,18,rm,2,,Щит связи для 18 рубежа,"г. Саранск, ул. Б.Хмельницкого, 42а",Жилое здание,2,1,0,3,54.18650892831820,45.17551836584340,300,75000
