"node_id","inn","name","note","type","type_description","address","latitude","longitude","is_contracted","is_built","plan_2022","node_distance","cost"
"РУС01","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Ардатовский)","LTE","ПВ ОГВ","Прочее","г. Ардатов, ул. Ленинская, 85","54.846721","46.234204","да","нет","","?","?"
"РУС01","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Ардатовский)","LTE","ПВ ОГВ","Прочее","г. Ардатов, ул. Комсомольская, 132","54.850329","46.243726","да","нет","","?","?"
"РУС02","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Атюрьевский)","VLAN Районы","ПВ ОГВ","Прочее","с. Атюрьево, Парковый переулок, 1","54.322741","43.340856","да","да","","0","0"
"РУС02","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Атюрьевский)","ШПД ГУП","ПВ ОГВ","Прочее","с. Атюрьево, ул. Центральная, 16","54.319843","43.330507","да","нет","","?","?"
"РУС03","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Атяшевский)","LTE","ПВ ОГВ","Прочее","п. Атяшево, пер. Советский, 2","54.591157","46.089269","да","нет","","?","?"
"РУС03","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Атяшевский)","VLAN Районы","ПВ ОГВ","Прочее","п. Атяшево, Центральная, 8","54.588585","46.086215","да","да","","0","0"
"РУС04","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Большеберезниковский)","LTE","ПВ ОГВ","Прочее","с. Б. Березники, ул. Ульяновская, 19","54.174175","45.966344","да","нет","","?","?"
"РУС04","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Большеберезниковский)","LTE","ПВ ОГВ","Прочее","с. Б. Березники, ул. Ленина, 8","54.171803","45.969111","да","нет","","?","?"
"РУС05","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Большеигнатовский)","VLAN Районы","ПВ ОГВ","Прочее","с. Б. Игнатово, ул. Советская, 32","55.013596","45.563872","да","да","","0","0"
"РУС05","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Большеигнатовский)","ШПД ГУП","ПВ ОГВ","Прочее","с. Б. Игнатово, ул. Советская, 27а","55.013647","45.567474","да","нет","","?","?"
"РУС06","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Дубёнский)","LTE","ПВ ОГВ","Прочее","с. Дубенки, ул. Жадейкина, 9","54.431809","46.298568","да","нет","","?","?"
"РУС06","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Дубёнский)","LTE","ПВ ОГВ","Прочее","с. Дубенки, ул. Бровцева, 138","54.430065","46.306419","да","нет","","?","?"
"РУС07","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Ельниковский)","VLAN Районы","ПВ ОГВ","Прочее","с. Ельники, ул. Ленина, 18","54.619755","43.868814","да","да","","0","0"
"РУС07","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Ельниковский)","ШПД ГУП","ПВ ОГВ","Прочее","с. Ельники, ул. Королева, 11","54.623248","43.874823","да","нет","","?","?"
"РУС08","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Зубово-Полянский)","VLAN Районы","ПВ ОГВ","Прочее","п. Зубово-Поляна, ул. Новикова Прибоя, 4","54.078172","42.838599","да","да","","0","0"
"РУС08","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Зубово-Полянский)","ШПД ГУП","ПВ ОГВ","Прочее","п. Зубово-Поляна, ул. Парковая, 30","54.079926","42.830640","да","нет","","?","?"
"РУС09","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Инсарский)","LTE","ПВ ОГВ","Прочее","г. Инсар, ул. БИБИШЕВА 1","53.871254","44.361108","да","нет","","?","?"
"РУС09","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Инсарский)","VLAN Районы","ПВ ОГВ","Прочее","г. Инсар, ул. Гагарина, 28","53.869115","44.368484","да","да","","0","0"
"РУС10","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Ичалковский)","LTE","ПВ ОГВ","Прочее","п. Кемля, ул. Первомайская, 1","54.695190","45.266799","да","нет","","?","?"
"РУС10","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Ичалковский)","VLAN Районы","ПВ ОГВ","Прочее","п. Кемля, ул.Советская,62","54.694462","45.256810","да","да","","0","0"
"РУС11","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Кадошкинский)","LTE","ПВ ОГВ","Прочее","п. Кадошкино, ул. Гражданская, 50","54.020749","44.419059","да","нет","","?","?"
"РУС11","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Кадошкинский)","ШПД ГУП","ПВ ОГВ","Прочее","п. Кадошкино, ул. Болдина, 28","54.027080","44.416597","да","нет","","?","?"
"РУС12","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Ковылкинский)","LTE","ПВ ОГВ","Прочее","г. Ковылкино, ул. Советская, 11","54.035896","43.919946","да","нет","","?","?"
"РУС12","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Ковылкинский)","ШПД Абонент","ПВ ОГВ","Прочее","г. Ковылкино, ул. Пролетарская, 70","54.040835","43.921599","да","нет","","?","?"
"РУС13","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Кочкуровский)","LTE","ПВ ОГВ","Прочее","с. Кочкурово, ул. Советская, 71","54.049182","45.441863","да","нет","","?","?"
"РУС13","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Кочкуровский)","VLAN Районы","ПВ ОГВ","Прочее","с. Кочкурово, ул.Советская, 16","54.037176","45.434425","да","да","","0","0"
"РУС14","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Краснослободский)","LTE","ПВ ОГВ","Прочее","г. Краснослободск, ул. К.Маркса, 21","54.423885","43.790103","да","нет","","?","?"
"РУС14","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Краснослободский)","VLAN Районы","ПВ ОГВ","Прочее","г. Краснослободск, ул. Интернациональная, 64","54.423523","43.793831","да","да","","0","0"
"РУС15","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Лямбирский)","LTE","ПВ ОГВ","Прочее","с. Лямбирь, ул. Советская, 1","54.279780","45.124173","да","нет","","?","?"
"РУС15","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Лямбирский)","VLAN Районы","ПВ ОГВ","Прочее","с. Лямбирь, ул. Ленина, 13","54.288127","45.120526","да","да","","0","0"
"РУС16","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Рузаевка)","LTE","ПВ ОГВ","Прочее","г. Рузаевка, ул. 40 Лет Победы, 8","54.078817","44.949774","да","нет","","?","?"
"РУС16","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Рузаевский)","VLAN Районы","ПВ ОГВ","Прочее","г. Рузаевка, ул. Ленина, 61","54.058469","44.949613","да","да","","0","0"
"РУС17","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Ромодановский)","LTE","ПВ ОГВ","Прочее","п. Ромоданово, ул. Ленина, 165","54.424917","45.334316","да","нет","","?","?"
"РУС17","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Ромодановский)","LTE","ПВ ОГВ","Прочее","п. Ромоданово, ул. Полежаева, 33","54.422491","45.324498","да","нет","","?","?"
"РУС18","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Старошайговский)","LTE","ПВ ОГВ","Прочее","с. Ст. Шайгово, ул. Пионерская, 1а","54.311739","44.472949","да","нет","","?","?"
"РУС18","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Старошайговский)","ШПД Абонент","ПВ ОГВ","Прочее","с. Ст. Шайгово, ул. Ленина, 9","54.304248","44.467846","да","нет","","?","?"
"РУС19","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Темниковский)","LTE","ПВ ОГВ","Прочее","г. Темников, ул. Октябрьская, 26","54.629768","43.213852","да","нет","","?","?"
"РУС19","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Темниковский)","VLAN Районы","ПВ ОГВ","Прочее","г. Темников, ул. Кирова, 26","54.628127","43.204456","да","да","","0","0"
"РУС20","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Теньгушевский)","LTE","ПВ ОГВ","Прочее","с. Теньгушево, ул. Ленина, 123","54.763212","42.711550","да","нет","","?","?"
"РУС20","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Теньгушевский)","VLAN Районы","ПВ ОГВ","Прочее","с. Теньгушево, ул. Социалистическая, 45","54.769326","42.719527","да","да","","0","0"
"РУС21","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Торбеевский)","LTE","ПВ ОГВ","Прочее","п. Торбеево, 3-й Микрорайон, д. 9","54.082995","43.254501","да","нет","","?","?"
"РУС21","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Торбеевский)","VLAN Районы","ПВ ОГВ","Прочее","п. Торбеево, ул. К.Маркса, 7","54.074849","43.245446","да","да","","0","0"
"РУС22","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ДДС-01 Чамзинский)","LTE","ПВ ОГВ","Прочее","п. Комсомольский, ул. Парковая, 1","52.762245","41.288681","да","нет","","?","?"
"РУС22","1326233740","ГКУ РМ ""СЛУЖБА ЗАКАЗЧИКА” (112-ЕДДС Чамзинский)","VLAN Районы","ПВ ОГВ","Прочее","пгт. Чамзинка, ул. Победы, д. 1","54.404295","45.774652","да","да","","0","0"
"УС01","1300050357","АДМИНИСТРАЦИЯ ГЛАВЫ РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 35","54.181600","45.186373","да","да","","0","0"
"УС01","1325039482","МП ГОРОДСКОГО ОКРУГА САРАНСК ""РАДУГА - РИТУАЛЬНЫЕ УСЛУГИ""","","ПВ ОМСУ","Прочее","г. Саранск Ул. СТРОИТЕЛЬНАЯ 2","54.204267","45.177866","нет","нет","да","390","97500"
"УС01","1325046232","ГБУК ""МОРДОВСКАЯ ГОСУДАРСТВЕННАЯ ФИЛАРМОНИЯ - РЕСПУБЛИКАНСКИЙ ДВОРЕЦ КУЛЬТУРЫ""","","ПВ ОГВ","Прочее","г. Саранск Ул. ПРОЛЕТАРСКАЯ 39","54.185673","45.178099","нет","нет","","330","82500"
