id,name,type,address,latitude,longitude,fiber,last_inch,hardware,vl-100,vl-1000
tl_01,СВ01,traffic_light,пр. Ленина — ул. Полежаева,54.189308,45.188035,0,3000,46000,3970,0
tl_02,СВ02,traffic_light,пр. Ленина — ул. Б.Хмельницкого,54.186642,45.187774,0,3000,46000,3970,0
tl_03,СВ03,traffic_light,пр. Ленина — ул. Коммунистическая,54.184155,45.187496,0,3000,46000,3970,0
tl_04,СВ04,traffic_light,ул. Коммунистическая — ул. Рабочая,54.184003,45.193164,0,3000,46000,3970,0
tl_05,СВ05,traffic_light,ул. Коммунистическая — ул.Большевистская,54.184377,45.181603,0,3000,46000,3970,0
tl_06,СВ06,traffic_light,ул. Коммунистическая — ул. Пролетарская,54.184688,45.177102,100000,3000,46000,3970,0
tl_07,СВ07,traffic_light,ул. Коммунистическая — ул. Ботевградская,54.184761,45.171694,0,3000,46000,3970,0
tl_08,СВ08,traffic_light,ул. Полежаева — ул. Большевистская,54.189482,45.182645,0,3000,46000,3970,0
tl_09,СВ09,traffic_light,ул. Полежаева — ул. Пролетарская,54.189635,45.177147,0,3000,46000,3970,0
tl_10,СВ10,traffic_light,ул. Полежаева — ул. Ботевградская,54.189819,45.172233,40000,3000,46000,3970,0
tl_11,СВ11,traffic_light,ул. Полежаева — ул. Ст. Разина,54.189993,45.167337,20000,3000,46000,3970,0
tl_12,СВ12,traffic_light,ул. Полежаева — ул. Титова,54.190172,45.162028,40000,3000,46000,3970,0
tl_13,СВ13,traffic_light,ул. Полежаева — ул. Гагарина,54.190683,45.159414,40000,3000,46000,3970,0
tl_14,СВ14,traffic_light,ул. Полежаева — ул. Суворова,54.191726,45.154878,75000,3000,46000,3970,0
tl_15,СВ15,traffic_light,ул. Советская — ул. Ботевградская,54.181863,45.170958,0,3000,46000,3970,0
tl_16,СВ16,traffic_light,ул. Б.Хмельницкого — ул. Пролетарская,54.186806,45.177318,0,3000,46000,3970,0
tl_17,СВ17,traffic_light,ул. Б. Хмельницкого — ул. Рабочая,54.186416,45.194736,112500,3000,46000,3970,0
tl_18,СВ18,traffic_light,пр. Ленина - ж/д вокзал,54.196269,45.188693,162500,3000,46000,3970,0
tl_19,СВ19,traffic_light,ул. Васенко — ул. Большевистская,54.194576,45.183076,75000,3000,46000,3970,0
tl_20,СВ20,traffic_light,ул. Ботевградская — ул. Б.Хмельницкого,54.186885,45.171910,62500,3000,46000,3970,0
tl_21,СВ21,traffic_light,ул. Волгоградская — ул. Короленко,54.186252,45.214265,0,3000,46000,3970,0
tl_22,СВ22,traffic_light,ул. Васенко — ул. Пролетарская,54.194771,45.178351,0,3000,46000,3970,0
tl_23,СВ23,traffic_light,ул.Васенко — ул. Ботевградская,54.194908,45.172700,112500,3000,46000,3970,0
tl_24,СВ24,traffic_light,ул. Васенко — пр. Ленина,54.194365,45.188583,0,3000,46000,3970,0
tl_25,СВ25,traffic_light,ул. Волгоградская д.2,54.182554,45.203710,87500,3000,46000,3970,0
tl_26,СВ26,traffic_light,ул. Осипенко д.5,54.169537,45.167643,125000,3000,46000,3970,0
tl_27,СВ27,traffic_light,ул. Полежаева д. 170,54.194055,45.144502,112500,3000,46000,3970,0
tl_28,СВ28,traffic_light,ул. Рабочая - ул. Инсарская (эстакада),54.183776,45.197952,87500,3000,46000,3970,0
node29,УС29,node,"ЦОД ""Технопарк-Мордовия"" (Кроссировка силами Исполнителя, оптическая)",54.165566300297400,45.166243990807000,0,0,0,0,29500
